Id,SalePrice
1461,112611.74827156245
1462,159219.1930197321
1463,186418.0659837305
1464,196495.9895423623
1465,205349.34676712102
1466,170171.5901685858
1467,175007.14286327394
1468,156383.41242290175
1469,211263.98649478317
1470,115055.46282176409
1471,154298.5543582868
1472,97589.88036975657
1473,93852.8162864979
1474,145991.15165051553
1475,106139.84607706693
1476,373652.59952736343
1477,262734.424315942
1478,312049.5709462628
1479,305689.63665446965
1480,484296.8313245303
1481,309552.2676969477
1482,204123.14700135743
1483,177886.42662742353
1484,161617.69125187883
1485,177942.62526091145
1486,188296.16982200454
1487,335812.7054819537
1488,219415.75442450328
1489,204669.0649082502
1490,257399.52653443677
1491,201412.3177346822
1492,101849.863032047
1493,184552.5234404968
1494,304713.899967161
1495,288586.5699024388
1496,245053.75895570088
1497,175706.63657900618
1498,175962.8596428155
1499,162924.53075570017
1500,149029.77363998254
1501,197597.16470230147
1502,134132.78756477867
1503,357271.7222138174
1504,233617.0170610658
1505,225060.5366359776
1506,192857.7969135427
1507,256940.97020243297
1508,197225.88510264995
1509,154122.27955215002
1510,143813.57921947222
1511,161569.09974764465
1512,175595.62070531936
1513,149599.41518440578
1514,170101.20349901207
1515,208322.62157681506
1516,153185.16895966776
1517,181847.89786283448
1518,120851.09429702014
1519,221412.79364760002
1520,119755.4690824674
1521,135442.05814541757
1522,188463.62160167497
1523,112192.92293290797
1524,123513.74803719038
1525,117114.1407652504
1526,103756.33673931338
1527,102298.40779853315
1528,129895.18890640754
1529,160180.11737528633
1530,211976.82492091434
1531,130322.76634041886
1532,92799.06316665307
1533,166545.91497436914
1534,127172.7430531902
1535,150369.37120775788
1536,93886.36221826149
1537,44878.41011263747
1538,152044.18555998077
1539,206390.75889135196
1540,118340.27795531906
1541,141903.30727939625
1542,166632.13115503153
1543,187419.62745291772
1544,74444.72873641286
1545,119696.43085219656
1546,138060.60087265648
1547,137328.92525668905
1548,150913.49565437718
1549,126014.85537807431
1550,142411.9094934802
1551,103508.01767014153
1552,152792.8609297423
1553,157267.3772296301
1554,113445.17592112403
1555,157755.7591254308
1556,57466.10163347391
1557,141445.7599196954
1558,107186.61901876071
1559,62571.45438109196
1560,116565.01998266636
1561,149705.47513991522
1562,131032.54942824939
1563,128146.75646570927
1564,161442.53610290794
1565,157798.94801168903
1566,228137.28584936683
1567,72034.53261854188
1568,220442.19695504635
1569,137445.69341545328
1570,125738.70237456987
1571,81314.90050294873
1572,151372.9787907177
1573,268303.8889173975
1574,135952.81290811687
1575,231518.47654671562
1576,230671.23367017662
1577,181731.043498327
1578,157358.16175049832
1579,134453.96982899614
1580,189345.49222099312
1581,153804.7489261436
1582,134141.8893123688
1583,283229.03930215596
1584,219455.48094565017
1585,133674.87273567173
1586,81536.05761976197
1587,103636.24810953095
1588,153328.95871709866
1589,104213.03129824498
1590,122992.16015873433
1591,90541.14890988133
1592,128125.27023670168
1593,128949.92777343348
1594,148587.77229502852
1595,117435.35278688357
1596,231755.47930153998
1597,209981.55869408682
1598,213681.92886105445
1599,193239.1877602665
1600,171648.61321719634
1601,51529.18724644437
1602,128800.02754154321
1603,41044.23751718408
1604,274256.69600628153
1605,223356.56275993402
1606,147979.99206101193
1607,167332.35998865622
1608,200629.12183927125
1609,190291.88930259147
1610,150796.64679063336
1611,127030.03561168842
1612,186985.5304627587
1613,163581.47915214163
1614,136431.61612302883
1615,95401.20505864467
1616,72518.44066536901
1617,84870.07795173544
1618,134423.99374059946
1619,142224.26293568817
1620,187090.62519441827
1621,129928.8190555993
1622,151072.41006482815
1623,254310.59765028898
1624,197371.19519395792
1625,116444.10605595284
1626,168302.8680704394
1627,190932.3918739677
1628,274940.7832894124
1629,176509.18850293398
1630,366755.20617505675
1631,254775.3187187032
1632,252513.1612299192
1633,170851.4118665676
1634,181197.959589801
1635,169335.35785701653
1636,144795.03212946324
1637,200269.51471602745
1638,177762.35008668163
1639,182872.6825514084
1640,235368.06545670077
1641,181420.06382523934
1642,252718.28945088483
1643,219423.6199782509
1644,237028.33907294463
1645,219618.2681993822
1646,155856.51219473654
1647,155562.3218898465
1648,127519.49932222473
1649,125634.84755432457
1650,105509.87311563347
1651,112065.66877443684
1652,98124.35048287912
1653,94973.89859148453
1654,145211.85942454057
1655,121680.20529275425
1656,140575.8893204508
1657,154533.7599839675
1658,146216.15611856765
1659,127176.83643433012
1660,149076.4797405996
1661,440316.7431385049
1662,384922.3617297112
1663,385786.5556268059
1664,534763.5904440044
1665,331967.4623107398
1666,324402.4036447423
1667,376824.53223594336
1668,359088.9560856146
1669,316801.21865221194
1670,362323.93161680305
1671,270270.5524630591
1672,409364.0178163205
1673,289881.5878284833
1674,246333.58178423045
1675,203047.14484395643
1676,205582.66394996925
1677,216968.0179443886
1678,473374.49825143674
1679,388105.8718147066
1680,340719.4336550366
1681,279231.5515228483
1682,320596.59425731027
1683,191527.54598015014
1684,167650.51756228556
1685,168759.94835774382
1686,161394.73883075072
1687,161527.25719391208
1688,180875.24537866915
1689,184187.93196887049
1690,187023.99504937124
1691,175824.69356017574
1692,252160.8388077412
1693,169189.96337549514
1694,180501.98000175648
1695,166918.55068262017
1696,264568.8795445099
1697,176134.93436530375
1698,341608.9136193906
1699,334188.2566636264
1700,271619.5985692461
1701,279444.7702612338
1702,236885.44466603102
1703,228458.99246691764
1704,268824.1762186161
1705,240705.6931681138
1706,190352.46102771655
1707,230941.1804133148
1708,204156.2902646617
1709,248516.52667895783
1710,220646.43295081056
1711,267483.72250398225
1712,254960.3219575831
1713,282292.87545887125
1714,229456.7549102575
1715,209534.85458338805
1716,186854.4466929623
1717,173981.56968986828
1718,152734.18766090253
1719,226426.83686285155
1720,252811.68395087388
1721,146710.13704923398
1722,117529.80603182249
1723,149956.7089631931
1724,218728.2081604336
1725,242293.81470891336
1726,186035.43663080307
1727,152383.4583588914
1728,153746.41036398956
1729,175374.64719073966
1730,169549.85654628728
1731,109473.91560532249
1732,131321.91749913196
1733,116751.00713843398
1734,121253.73410039328
1735,91456.23694881925
1736,93705.74066901024
1737,287040.60203650617
1738,264218.20460426307
1739,247359.99559860458
1740,219785.9539836851
1741,191549.88029241786
1742,178873.1217425492
1743,170617.9079036539
1744,359422.0635797264
1745,222628.3590856685
1746,190883.73380400628
1747,221275.27476816173
1748,224624.4118423929
1749,133783.5445368873
1750,134268.40117826013
1751,231427.5516232878
1752,106546.04842412454
1753,156738.43515836788
1754,196493.8011102508
1755,170970.65979103508
1756,142041.97445122016
1757,118193.87022653365
1758,145157.7417228015
1759,160016.19173468367
1760,160636.9911445493
1761,155211.5225799814
1762,185834.5160546529
1763,186375.78556675432
1764,114925.92653387351
1765,185885.4405502545
1766,187008.4249854102
1767,227952.42800375845
1768,140357.60078789337
1769,161667.5396755809
1770,147571.9993779595
1771,121372.64577261687
1772,132551.8514882476
1773,110280.08080483746
1774,155057.16104015315
1775,140676.00729725815
1776,129767.90936508015
1777,108721.36888495676
1778,145652.33625440023
1779,135845.06395425534
1780,154308.43622251434
1781,126007.03504864362
1782,74855.22896590308
1783,142172.79958922943
1784,96307.59545547885
1785,140728.4871336201
1786,106697.09995037931
1787,149052.07633612127
1788,50609.34883656251
1789,104064.41095180114
1790,66338.42080518403
1791,198997.8866334864
1792,168677.67485054737
1793,139160.33357809854
1794,162586.04856178028
1795,134812.30910602413
1796,130393.34106963538
1797,119012.56929834912
1798,122525.27031091359
1799,96997.57774126588
1800,121751.75086837777
1801,122615.49522075153
1802,103214.931252779
1803,159248.23099786954
1804,119351.1431824177
1805,129597.09301413907
1806,130213.53713341083
1807,142054.41457395934
1808,118305.84650749303
1809,133053.96559954915
1810,140282.8686392722
